rank,tier,tic,ra,dec,tmag,teff,logg,rad,rad_err,mass,rho,lumclass,contratio,gaia_dr2,n_sectors,sectors,pred_cdpp_1h_ppm,pred_rmin_p1_rearth,pred_rmin_p5_rearth,pred_rmin_p10_rearth,reason
2665,1,359583980,279.824611866352,59.947252420864,13.6776,3374.0,4.84446,0.380808,0.0114801,0.369664,6.69405,DWARF,0.06569917,2154947274666107904,24,14 15 16 17 18 19 20 21 22 23 24 25 26 40 41 47 48 49 50 51 52 53 54 55,3060,1.52,2.01,2.26,"M dwarf, R 0.38 R_sun, Teff 3374 K, Tmag 13.68; 24 TGLC sectors (S14-S55); contamination 0.07 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2666,1,167692257,102.770983685088,-63.2717417566162,13.6824,3236.0,4.83658,0.389259,0.0116575,0.379305,6.43091,DWARF,0.0176042859,5286525681003177728,26,1 2 3 4 5 6 7 8 9 10 11 12 13 27 28 29 30 31 32 33 34 35 36 37 38 39,3069,1.52,2.01,2.26,"M dwarf, R 0.39 R_sun, Teff 3236 K, Tmag 13.68; 26 TGLC sectors (S1-S39); contamination 0.02 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2667,1,374995660,99.2377934396161,-64.5516494502082,13.6883,3301.0,4.83755,0.388214,0.0116483,0.378115,6.46265,DWARF,0.006149517,5284681078449318912,26,1 2 3 4 5 6 7 8 9 10 11 12 13 27 28 29 30 31 32 33 34 35 36 37 38 39,3081,1.52,2.01,2.26,"M dwarf, R 0.39 R_sun, Teff 3301 K, Tmag 13.69; 26 TGLC sectors (S1-S39); contamination 0.01 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2668,1,441729056,257.293913453291,72.7379959766282,13.7076,3401.0,4.84856,0.376443,0.0113471,0.364666,6.83593,DWARF,0.00509298034,1652102433613315584,24,14 15 16 17 18 19 20 21 22 23 24 25 26 40 41 47 48 49 50 51 52 53 54 55,3120,1.52,2.01,2.26,"M dwarf, R 0.38 R_sun, Teff 3401 K, Tmag 13.71; 24 TGLC sectors (S14-S55); contamination 0.01 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2669,1,198184272,245.421958617891,61.1168421890502,13.7146,3437.0,4.85816,0.366321,0.010878,0.353037,7.18182,DWARF,0.000589609845,1625176665159660800,22,14 15 16 17 18 19 21 22 23 24 25 26 41 47 48 49 50 51 52 53 54 55,3135,1.52,2.01,2.26,"M dwarf, R 0.37 R_sun, Teff 3437 K, Tmag 13.71; 22 TGLC sectors (S14-S55); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2670,1,219733044,230.00993730778,74.818877912526,13.7214,3375.0,4.90281,0.321381,0.00980626,0.301147,9.07231,DWARF,0.0207477771,1700739399187164288,14,14 15 16 19 20 21 22 26 40 41 47 48 49 53,3149,1.52,2.01,2.27,"M dwarf, R 0.32 R_sun, Teff 3375 K, Tmag 13.72; 14 TGLC sectors (S14-S53); contamination 0.02 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2671,1,287537326,124.558319032677,-72.6264355991276,13.7322,3355.0,4.89077,0.333107,0.010007,0.314681,8.51372,DWARF,0.036601,5221010730906565120,16,2 3 6 9 10 11 12 13 29 30 32 33 36 37 38 39,3172,1.53,2.01,2.27,"M dwarf, R 0.33 R_sun, Teff 3355 K, Tmag 13.73; 16 TGLC sectors (S2-S39); contamination 0.04 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2672,1,414987799,141.387471131085,20.1440565265465,13.7483,3093.0,5.05733,0.203679,0.00618056,0.172644,20.4321,DWARF,0.0198301934,634398216154684800,3,44 45 46,3206,1.53,2.01,2.27,"late M dwarf, R 0.20 R_sun, Teff 3093 K, Tmag 13.75; 3 TGLC sectors (S44-S46); contamination 0.02 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2673,1,198162349,243.774966198969,62.6945652988708,13.7576,3325.0,4.8536,0.37112,0.0111671,0.358556,7.01478,DWARF,0.0100680664,1628564294844835712,24,14 15 16 17 18 19 20 21 22 23 24 25 26 40 41 47 48 49 50 51 52 53 54 55,3226,1.53,2.01,2.27,"M dwarf, R 0.37 R_sun, Teff 3325 K, Tmag 13.76; 24 TGLC sectors (S14-S55); contamination 0.01 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2674,1,219818112,267.678356939119,64.8216785057092,13.7804,3220.0,4.85842,0.366052,0.0110041,0.352727,7.19135,DWARF,0.009733823,1440806329165872256,24,14 15 16 17 18 19 20 21 22 23 24 25 26 40 41 47 48 49 50 51 52 53 54 55,3276,1.52,2.01,2.26,"M dwarf, R 0.37 R_sun, Teff 3220 K, Tmag 13.78; 24 TGLC sectors (S14-S55); contamination 0.01 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
2675,1,38632730,64.8819114298329,-61.2247921006024,13.7939,3311.0,4.86436,0.359866,0.0109318,0.345599,7.41566,DWARF,0.00330689922,4678204105382338432,23,1 2 3 4 5 6 7 8 9 11 12 27 28 29 30 31 32 34 35 36 37 38 39,3306,1.52,2.01,2.26,"M dwarf, R 0.36 R_sun, Teff 3311 K, Tmag 13.79; 23 TGLC sectors (S1-S39); contamination 0.00 (low); not a TOI, CTOI, confirmed host or known EB; a 2.0 R_earth planet at P = 5 d should reach SNR 10 (predicted)"
